Id,Label,weight,Degree,Weighted Degree,Modularity Class,PageRank,Eccentricity,Closeness Centrality,Betweenness Centrality
S13323,S13323,,10,26.0,5,9.544082314183764E-5,5.0,2.78892291985707,0.0
S1690,S1690,,7,48.0,5,7.168250347924936E-5,4.0,2.7304747320061256,0.0
S1265,S1265,,9,871.0,5,8.56172217468637E-5,5.0,2.754977029096478,0.3023114638790277
S11876,S11876,,9,428.0,5,8.834528904442889E-5,5.0,2.7567636549259826,3.2990926342597398
S1576,S1576,,5,72.0,5,6.333466087284073E-5,5.0,2.8208269525267995,0.0
S337,S337,,6,49.0,5,7.12012632168993E-5,5.0,2.843287391526289,0.0
S1363,S1363,,7,195.0,5,7.728821788110022E-5,5.0,2.781521184277693,0.0
S13321,S13321,,16,157.0,5,1.1062840887881144E-4,5.0,2.8450740173557936,0.21868288168098102
S1769,S1769,,9,1573.0,5,8.297073322287453E-5,5.0,2.751659009698826,0.0
S13531,S13531,,4,24.0,5,6.359555460011715E-5,5.0,2.7912200102092903,0.0
S1506,S1506,,9,515.0,5,8.827171925810778E-5,5.0,2.9188361408882084,0.0
S1601,S1601,,7,93.0,5,7.632012803328657E-5,5.0,2.758805513016845,0.0
S1613,S1613,,7,222.0,5,7.299552087413452E-5,5.0,2.7445125063808065,0.0
S341,S341,,4,110.0,5,5.850463386811196E-5,5.0,2.8448187850944358,0.0
S1253,S1253,,9,378.0,5,9.022417076082382E-5,5.0,2.779989790709546,0.0
S1773,S1773,,16,506.0,5,1.4231514314377874E-4,5.0,2.787391526288923,16.524843925314563
S870,S870,,13,74.0,1,1.171125004138337E-4,4.0,2.710821847881572,203.0509280715537
S11516,S11516,,10,660.0,5,9.560944847463187E-5,5.0,2.7633996937212864,1.6414062176217672
S11416,S11416,,13,97.0,5,1.2019215377441062E-4,5.0,2.841500765696784,0.48535353535353537
S1340,S1340,,7,64.0,5,7.088200035058262E-5,5.0,2.944359367023992,0.0
S1704,S1704,,9,187.0,5,8.82717192581078E-5,5.0,2.9188361408882084,0.0
S151,S151,,4,4.0,0,5.813597926035345E-5,5.0,2.76416539050536,0.0
S191,S191,,5,45.0,5,6.016913533054229E-5,5.0,3.009954058192956,0.012120352978700785
S801,S801,,4,54.0,5,6.362642600323028E-5,5.0,2.8499234303215926,0.0
S797,S797,,8,131.0,5,8.463511508131171E-5,5.0,2.8266972945380298,5.362780601888091
S9934,S9934,,7,13.0,5,7.6877073845325E-5,5.0,2.820316488004084,0.0
S10806,S10806,,11,151.0,5,9.589050772218174E-5,4.0,2.7519142419601836,0.366419438598729
S2234,S2234,,11,558.0,5,1.0003484160512208E-4,5.0,2.7616130678917816,2.2330479606448863
S12328,S12328,,11,214.0,5,1.0719276371689832E-4,5.0,2.8420112302194998,0.0
